StudentID,Course,Grade,Section_Grade,Course_Type
STU350,Chinese IV Honors,11,94.18,Foreign Language
STU351,French II Honors,9,86.33,Foreign Language
STU352,Latin AP,12,95.27,Foreign Language
STU353,French Language and Culture AP,12,97.23,Foreign Language
STU354,Spanish III Honors,10,93.81,Foreign Language
STU355,French Language and Culture AP,12,93.08,Foreign Language
STU356,French III Honors,10,87.64,Foreign Language
STU357,Latin II Honors,10,100.13,Foreign Language
STU358,Spanish Language and Culture AP,12,95.2,Foreign Language
STU359,Spanish II,9,95.23,Foreign Language
STU36,Spanish IV Honors,11,96.06,Foreign Language
STU360,Spanish IV Honors,11,88.33,Foreign Language
STU361,Spanish II Honors,9,94.32,Foreign Language
STU362,Spanish IV Honors - Heritage Speakers,9,99.86,Foreign Language
STU363,Spanish II Honors,9,94.51,Foreign Language
STU364,French II Honors,9,83.23,Foreign Language
STU365,French III,10,84.93,Foreign Language
STU366,Spanish III,10,95.46,Foreign Language
STU367,Spanish IV Honors - Heritage Speakers,9,98.71,Foreign Language
STU368,Spanish IV Honors,11,99.63,Foreign Language
STU369,Chinese II,9,96.1,Foreign Language
STU37,Spanish: 20th Century Latin American Literature Post-AP,12,94.08,Foreign Language
STU370,Spanish II Honors,9,97.82,Foreign Language
STU371,Spanish II Honors,9,93.57,Foreign Language
STU372,Spanish II Honors,9,90.55,Foreign Language
STU373,Spanish II,9,92.73,Foreign Language
STU374,Spanish II,9,94.81,Foreign Language
STU375,Spanish Language and Culture AP,12,94.68,Foreign Language
STU376,French II Honors,9,87.72,Foreign Language
STU377,Spanish Language and Culture AP,12,94.75,Foreign Language
STU378,Spanish II Honors,9,91.62,Foreign Language
STU379,French IV Honors,11,92.8,Foreign Language
STU38,Spanish IV Honors - Heritage Speakers,9,94.9,Foreign Language
STU380,Spanish IV Honors - Heritage Speakers,9,98.56,Foreign Language
STU381,Spanish III,10,94.3,Foreign Language
STU382,Spanish IV Honors,10,98.15,Foreign Language
STU383,Latin AP,12,89.4,Foreign Language
STU384,French II Honors,9,93.56,Foreign Language
STU385,Spanish II Honors,9,97.71,Foreign Language
STU386,Spanish Language and Culture AP (for Heritage Speakers),10,94.12,Foreign Language
STU387,French V Honors,12,91.19,Foreign Language
STU388,French II Honors,9,86.68,Foreign Language
STU389,Spanish Language and Culture AP (for Heritage Speakers),10,94.76,Foreign Language
STU39,French Language and Culture AP,12,93.33,Foreign Language
STU390,Latin II Honors,10,99.13,Foreign Language
STU391,Latin III Honors,11,95.01,Foreign Language
STU392,Spanish Language and Culture AP,12,91.3,Foreign Language
STU393,Spanish Language and Culture AP (for Heritage Speakers),10,97.82,Foreign Language
STU394,Spanish IV Honors,11,97.6,Foreign Language
STU395,Spanish V Honors,12,88.35,Foreign Language
STU396,Chinese III Honors,10,84.24,Foreign Language
STU397,Spanish Language and Culture AP,12,93.4,Foreign Language
STU398,Spanish III Honors,10,93.31,Foreign Language
STU399,Spanish IV,11,87.86,Foreign Language
STU4,Spanish III,10,92.73,Foreign Language
STU40,Chinese Language and Culture AP,12,95.34,Foreign Language
STU400,Spanish V Honors,12,97.59,Foreign Language
STU401,Spanish Literature and Culture AP,11,98.36,Foreign Language
STU402,Spanish IV Honors,11,96.75,Foreign Language
STU403,French II Honors,9,85.03,Foreign Language
STU404,Chinese II Honors,9,93,Foreign Language
STU405,Spanish II,9,92.83,Foreign Language
STU406,Spanish II,9,89.74,Foreign Language
STU407,French III Honors,9,85.56,Foreign Language
STU408,French Language and Culture AP,12,95.05,Foreign Language
STU409,Spanish IV,11,83.22,Foreign Language
STU41,Chinese IV Honors,11,97.17,Foreign Language
STU410,Spanish: 20th Century Latin American Literature Post-AP,12,95.67,Foreign Language
STU411,French II Honors,9,93.51,Foreign Language
STU412,Spanish II Honors,9,90.44,Foreign Language
STU413,Spanish IV Honors - Heritage Speakers,9,95.33,Foreign Language
STU414,Spanish Language and Culture AP,12,95.05,Foreign Language
STU415,French II,9,90.86,Foreign Language
STU416,Spanish II Honors,9,94.45,Foreign Language
STU417,Chinese II Honors,9,93.91,Foreign Language
STU418,Latin III Honors,11,98.18,Foreign Language
STU419,Spanish II,10,90.86,Foreign Language
STU42,Chinese II Honors,9,90.98,Foreign Language
STU420,Chinese Language and Culture AP,12,91.3,Foreign Language
STU421,Spanish V Honors,12,91.62,Foreign Language
STU422,Chinese II,9,91.36,Foreign Language
STU423,Spanish II Honors,9,97.05,Foreign Language
STU424,French III Honors,10,93.51,Foreign Language
STU425,Chinese Language and Culture AP,12,87.21,Foreign Language
STU426,Spanish Language and Culture AP (for Heritage Speakers),10,95.75,Foreign Language
STU427,Spanish II,9,92.55,Foreign Language
STU428,Spanish Language and Culture AP,12,97.6,Foreign Language
STU429,French II Honors,9,91.32,Foreign Language
STU43,Latin II Honors,10,100.23,Foreign Language
STU430,Spanish IV,11,85.69,Foreign Language
STU431,Spanish: 20th Century Latin American Literature Post-AP,12,92.75,Foreign Language
STU432,French II Honors,9,86.23,Foreign Language
STU433,Spanish II Honors,9,90.25,Foreign Language
STU434,Spanish IV Honors,11,99.35,Foreign Language
STU435,Spanish V Honors,12,95.49,Foreign Language
STU436,Spanish IV,11,83.54,Foreign Language
STU437,Latin I Honors,9,95.58,Foreign Language
STU438,Spanish II Honors,9,83.67,Foreign Language
STU439,Spanish IV Honors,11,95.9,Foreign Language
STU44,Spanish V Honors,12,88.46,Foreign Language
STU440,Chinese IV Honors,11,93.03,Foreign Language
STU441,Chinese Language and Culture AP,12,93.99,Foreign Language
STU442,Spanish Literature and Culture AP,11,87.77,Foreign Language
STU443,Spanish III,10,96.74,Foreign Language
STU444,French Language and Culture AP,12,97.5,Foreign Language
STU445,Spanish Language and Culture AP,12,92.95,Foreign Language
STU446,Spanish IV Honors,11,99.44,Foreign Language
STU447,Spanish Language and Culture AP,12,93.85,Foreign Language
STU448,Latin III Honors,11,94.74,Foreign Language
STU449,Spanish II,9,89.57,Foreign Language
STU45,Spanish IV,11,89.61,Foreign Language
STU450,Latin II Honors,10,99.02,Foreign Language
STU451,Spanish: 20th Century Latin American Literature Post-AP,12,96.58,Foreign Language
STU452,Latin II Honors,10,100.43,Foreign Language
STU453,Spanish II Honors,9,88,Foreign Language
STU454,Spanish: 20th Century Latin American Literature Post-AP,12,97.67,Foreign Language
STU455,Spanish Language and Culture AP (for Heritage Speakers),10,97.46,Foreign Language
STU456,Spanish Language and Culture AP (for Heritage Speakers),10,93.81,Foreign Language
STU457,Spanish III Honors,10,87.74,Foreign Language
STU458,Spanish Literature and Culture AP,11,89.57,Foreign Language
STU458,Latin III Honors,11,96.26,Foreign Language
STU459,Spanish Literature and Culture AP,11,81.46,Foreign Language
STU46,Spanish Language and Culture AP,12,96.03,Foreign Language
STU460,Spanish IV Honors - Heritage Speakers,9,95.29,Foreign Language
STU461,Chinese IV Honors,11,90.11,Foreign Language
STU462,Spanish III Honors,10,90.66,Foreign Language
STU463,Spanish Language and Culture AP (for Heritage Speakers),10,93.5,Foreign Language
STU464,Spanish IV Honors - Heritage Speakers,9,99.73,Foreign Language
STU465,Chinese II Honors,9,88.04,Foreign Language
STU466,Spanish IV,11,89.39,Foreign Language
STU467,Spanish IV,11,89.34,Foreign Language
STU468,Spanish II,9,87.56,Foreign Language
STU469,Latin AP,12,93.45,Foreign Language
STU47,Spanish III Honors,10,90.21,Foreign Language
STU470,Spanish II Honors,9,90.83,Foreign Language
STU471,Latin III Honors,11,98.14,Foreign Language
STU472,Spanish IV Honors - Heritage Speakers,9,95.49,Foreign Language
STU473,Spanish IV,11,82.93,Foreign Language
STU474,Spanish: 20th Century Latin American Literature Post-AP,12,97,Foreign Language
STU475,Spanish II Honors,9,97.84,Foreign Language
STU476,Spanish II,9,91.26,Foreign Language
STU477,Spanish III,11,91.18,Foreign Language
STU478,Spanish III,11,93.44,Foreign Language
STU479,Chinese Language and Culture AP,12,97.07,Foreign Language
STU48,Spanish IV,11,93.88,Foreign Language
STU480,Spanish III Honors,10,89.33,Foreign Language
STU481,French Language and Culture AP,12,93.73,Foreign Language
STU482,Spanish Language and Culture AP,12,92.88,Foreign Language
STU484,Chinese IV Honors,11,97.66,Foreign Language
STU485,Spanish IV Honors,11,98.43,Foreign Language
STU486,Spanish IV Honors,11,98.03,Foreign Language
STU487,Spanish IV Honors,11,99.57,Foreign Language
STU488,Spanish IV Honors,11,97.06,Foreign Language
STU489,French Language and Culture AP,12,90.18,Foreign Language
STU49,French Language and Culture AP,12,95.45,Foreign Language
STU490,Spanish Language and Culture AP,12,96.25,Foreign Language
STU491,Spanish: 20th Century Latin American Literature Post-AP,12,93.04,Foreign Language
STU492,Spanish V Honors,12,88.64,Foreign Language
STU493,Spanish Language and Culture AP (for Heritage Speakers),10,90.23,Foreign Language
STU494,Latin III Honors,11,94.88,Foreign Language
STU495,Chinese Language and Culture AP,12,87.2,Foreign Language
STU496,Chinese III Honors,10,94.59,Foreign Language
STU497,Spanish III Honors,10,96.19,Foreign Language
STU498,Chinese II Honors,9,90.25,Foreign Language
STU499,Spanish IV,11,96.2,Foreign Language
STU5,Spanish V Honors,12,94.01,Foreign Language
STU50,Spanish II Honors,9,97.51,Foreign Language
STU500,Spanish IV,12,88.67,Foreign Language
STU501,Spanish III Honors,10,89.84,Foreign Language
STU502,Chinese IV Honors,11,93.04,Foreign Language
STU503,Spanish Language and Culture AP,12,95.05,Foreign Language
STU504,Latin I Honors,9,95.8,Foreign Language
STU505,Latin I Honors,9,98.05,Foreign Language
STU506,Spanish Literature and Culture AP,12,89.79,Foreign Language
STU507,Spanish III,10,92.64,Foreign Language
STU508,Spanish II Honors,9,97.33,Foreign Language
STU509,Chinese V Honors,12,96.82,Foreign Language
STU51,Spanish Language and Culture AP,12,94.45,Foreign Language
STU510,Spanish II Honors,10,94.11,Foreign Language
STU510,Chinese III Honors,10,97.14,Foreign Language
