StudentID,Course,Grade,Section_Grade,Course_Type
STU336,English Literature and Composition AP,11,92.3,English
STU337,English I Honors,9,94.64,English
STU338,English Language and Composition AP,10,90,English
STU339,English I Honors,9,97.27,English
STU34,English Literature and Composition AP,12,92.88,English
STU340,Mythology Classical and World Literature Post-AP,12,93.64,English
STU341,English II Honors,10,95.62,English
STU342,English Language and Composition AP,11,90.57,English
STU343,English Literature and Composition AP,11,93.4,English
STU344,English Language and Composition AP,11,92.2,English
STU345,English Literature and Composition AP,12,95.59,English
STU346,English I Honors,9,95.15,English
STU347,Women Writers Post-AP,12,93.9,English
STU348,English I Honors,9,96.56,English
STU349,English Literature and Composition AP,12,86.94,English
STU35,English Literature and Composition AP,11,96.29,English
STU350,English Literature and Composition AP,11,96.88,English
STU351,English I Honors,9,90.14,English
STU352,Women Writers Post-AP,12,95.93,English
STU353,Mythology Classical and World Literature Post-AP,12,96.57,English
STU354,English Language and Composition AP,10,95.28,English
STU355,Mythology Classical and World Literature Post-AP,12,94.85,English
STU356,English Language and Composition AP,10,86.92,English
STU357,English Language and Composition AP,10,92.73,English
STU358,English Literature and Composition AP,12,93.24,English
STU359,English I Honors,9,96.65,English
STU36,English Language and Composition AP,11,92.69,English
STU360,English Literature and Composition AP,11,90.1,English
STU361,English I Honors,9,97.67,English
STU362,English I Honors,9,98.24,English
STU363,English I Honors,9,96.56,English
STU364,English I Honors,9,86.93,English
STU365,English Language and Composition AP,10,92.55,English
STU366,English II Honors,10,92.57,English
STU367,English I Honors,9,97.27,English
STU368,English Literature and Composition AP,11,98.27,English
STU369,English I Honors,9,86.71,English
STU37,English Literature and Composition AP,12,89.47,English
STU370,English I Honors,9,97.27,English
STU371,English I Honors,9,96.56,English
STU372,English I Honors,9,91.81,English
STU373,English I Honors,9,85.66,English
STU374,English I Honors,9,79.52,English
STU375,Mythology Classical and World Literature Post-AP,12,94.71,English
STU375,On The Fringe: Marginalized Voices in Literature Post-AP,12,99.15,English
STU376,English I Honors,9,93.21,English
STU377,English Literature and Composition AP,12,95.3,English
STU378,English I Honors,9,92.71,English
STU379,English Literature and Composition AP,11,93.98,English
STU38,English I Honors,9,88.98,English
STU380,English I Honors,9,96.65,English
STU381,English II Honors,10,81.64,English
STU382,English Language and Composition AP,10,92.8,English
STU382,Talented Writers Program I Honors,10,92.04,English
STU383,English Literature and Composition AP,12,86.63,English
STU384,English I Honors,9,97.19,English
STU385,English I Honors,9,95.9,English
STU386,English Language and Composition AP,10,92.1,English
STU387,English Literature and Composition AP,12,90.08,English
STU388,English I Honors,9,88.64,English
STU389,English Language and Composition AP,10,89.58,English
STU39,Mythology Classical and World Literature Post-AP,12,94.65,English
STU390,English Language and Composition AP,10,90.15,English
STU391,English Language and Composition AP,11,93.77,English
STU392,English Literature and Composition AP,12,89.71,English
STU393,English Language and Composition AP,10,88.52,English
STU394,English Literature and Composition AP,11,91.7,English
STU395,English Literature and Composition AP,12,89.73,English
STU396,English II Honors,10,92.26,English
STU397,English Literature and Composition AP,12,92.88,English
STU398,English II Honors,10,91.3,English
STU399,English Language and Composition AP,11,89.46,English
STU4,English II Honors,10,95.48,English
STU40,Shakespeare Post-AP,12,93.45,English
STU400,Shakespeare Post-AP,12,96.17,English
STU401,English Literature and Composition AP,11,96.76,English
STU402,English Literature and Composition AP,11,91.94,English
STU403,English I Honors,9,90,English
STU404,English I Honors,9,93.48,English
STU405,English I Honors,9,91.9,English
STU406,English I Honors,9,90.3,English
STU407,English I Honors,9,93.56,English
STU408,On The Fringe: Marginalized Voices in Literature Post-AP,12,96.6,English
STU409,English Language and Composition AP,11,87.9,English
STU41,English Literature and Composition AP,11,94.63,English
STU410,Shakespeare Post-AP,12,93.22,English
STU411,English I Honors,9,96.5,English
STU412,English I Honors,9,82.29,English
