StudentID,Course,Grade,Section_Grade
STU427,Computer Science Principles AP,9,98.74
STU427,Chemistry Honors,9,89.52
STU427,Human Geography AP,9,89.1
STU760,English I Honors,9,83.05
STU760,Latin I Honors,9,94.35
STU760,Geometry,9,89.52
STU760,Computer Science Principles AP,9,89.03
STU760,Chemistry,9,87.88
STU760,Modern World Honors: 1750 to the Present,9,93.17
STU415,English I Honors,9,89.67
STU415,French II,9,90.86
STU415,Geometry Honors,9,81.92
STU415,Chemistry,9,91.12
STU415,Human Geography AP,9,89.61
STU384,English I Honors,9,97.19
STU384,French II Honors,9,93.56
STU384,Geometry Honors,9,94.3
STU384,Chemistry Honors,9,96.75
STU384,World History AP,9,95.1
STU63,English I Honors,9,88.2
STU63,Spanish II Honors,9,97.18
STU63,Geometry Honors,9,92.71
STU63,Computer Science Principles AP,9,95.17
STU63,Chemistry Honors,9,89.81
STU63,Human Geography AP,9,93.68
STU321,English I Honors,9,91.62
STU321,Spanish II Honors,9,95.33
STU321,Geometry Honors,9,85.81
STU321,Computer Science Principles AP,9,89.2
STU321,Chemistry Honors,9,83.82
STU321,World History AP,9,93.88
STU226,English I Honors,9,96.59
STU226,Spanish II Honors,9,97.77
STU226,Geometry Honors,9,91.04
STU226,Computer Science Principles AP,9,91.6
STU226,Chemistry Honors,9,89.46
STU226,World History AP,9,92.45
STU762,English I Honors,9,82.5
STU762,"Great Decisions, Character, and Consequences",9,100
STU762,Spanish II,9,84.63
STU762,Geometry,9,77.34
STU762,Chemistry,9,84.27
STU762,Modern World Honors: 1750 to the Present,9,93.04
STU412,English I Honors,9,82.29
STU412,Spanish II Honors,9,90.44
STU412,Geometry,9,91.19
STU412,Chemistry,9,90.4
STU412,Human Geography AP,9,89.01
STU50,English I Honors,9,94.09
STU50,Spanish II Honors,9,97.51
STU50,Geometry,9,96.62
STU50,Computer Science Principles AP,9,89.05
STU50,Chemistry,9,95.1
STU50,Human Geography AP,9,93.45
STU413,English I Honors,9,87.31
STU413,Spanish IV Honors - Heritage Speakers,9,95.33
STU413,Geometry Honors,9,86.15
STU413,Computer Science Principles AP,9,93.37
STU413,Chemistry Honors,9,87.67
STU413,Human Geography AP,9,94.35
STU730,English I Honors,9,93.64
STU730,Spanish II Honors,9,97.24
STU730,Geometry Honors,9,96.65
STU730,Chemistry Honors,9,93.83
STU730,World History AP,9,95.1
STU472,English I Honors,9,91.99
STU472,Spanish IV Honors - Heritage Speakers,9,95.49
STU472,Geometry Honors,9,87.6
STU472,Computer Science Principles AP,9,90.97
STU472,Chemistry,9,98.74
STU472,World History AP,9,97.14
STU188,English I Honors,9,95.34
STU188,Spanish IV Honors - Heritage Speakers,9,96.77
STU188,Geometry Honors,9,87.43
STU188,Computer Science Principles AP,9,92.38
STU188,Chemistry Honors,9,89.46
STU188,Human Geography AP,9,90.35
STU793,English I Honors,9,87.9
STU793,Spanish II Honors,9,93.32
STU793,Geometry,9,92.55
STU793,Chemistry Honors,9,81.23
STU793,Human Geography AP,9,90.79
STU625,English I Honors,9,95.68
STU625,Spanish II Honors,9,90.8
STU625,Geometry Honors,9,83.52
STU625,Chemistry Honors,9,90.05
STU625,World History AP,9,95.92
STU764,English I Honors,9,94.97
STU764,Latin I Honors,9,86.45
STU764,Geometry Honors,9,91.98
