,StudentID,Course,Grade,Section_Grade,Course_Type
334,STU427,Computer Science Principles AP,9,98.74,Computer Science
335,STU427,Chemistry Honors,9,89.52,Science
336,STU427,Human Geography AP,9,89.1,Humanities
337,STU760,English I Honors,9,83.05,English
338,STU760,Latin I Honors,9,94.35,Foreign Language
339,STU760,Geometry,9,89.52,Math
340,STU760,Computer Science Principles AP,9,89.03,Computer Science
341,STU760,Chemistry,9,87.88,Science
342,STU760,Modern World Honors: 1750 to the Present,9,93.17,Humanities
343,STU415,English I Honors,9,89.67,English
344,STU415,French II,9,90.86,Foreign Language
345,STU415,Geometry Honors,9,81.92,Math
346,STU415,Chemistry,9,91.12,Science
347,STU415,Human Geography AP,9,89.61,Humanities
348,STU384,English I Honors,9,97.19,English
349,STU384,French II Honors,9,93.56,Foreign Language
350,STU384,Geometry Honors,9,94.3,Math
351,STU384,Chemistry Honors,9,96.75,Science
352,STU384,World History AP,9,95.1,Humanities
353,STU63,English I Honors,9,88.2,English
354,STU63,Spanish II Honors,9,97.18,Foreign Language
355,STU63,Geometry Honors,9,92.71,Math
356,STU63,Computer Science Principles AP,9,95.17,Computer Science
357,STU63,Chemistry Honors,9,89.81,Science
358,STU63,Human Geography AP,9,93.68,Humanities
359,STU321,English I Honors,9,91.62,English
360,STU321,Spanish II Honors,9,95.33,Foreign Language
361,STU321,Geometry Honors,9,85.81,Math
362,STU321,Computer Science Principles AP,9,89.2,Computer Science
363,STU321,Chemistry Honors,9,83.82,Science
364,STU321,World History AP,9,93.88,Humanities
365,STU226,English I Honors,9,96.59,English
366,STU226,Spanish II Honors,9,97.77,Foreign Language
367,STU226,Geometry Honors,9,91.04,Math
368,STU226,Computer Science Principles AP,9,91.6,Computer Science
369,STU226,Chemistry Honors,9,89.46,Science
370,STU226,World History AP,9,92.45,Humanities
371,STU762,English I Honors,9,82.5,English
372,STU762,"Great Decisions, Character, and Consequences",9,100.0,Psychology
373,STU762,Spanish II,9,84.63,Foreign Language
374,STU762,Geometry,9,77.34,Math
375,STU762,Chemistry,9,84.27,Science
376,STU762,Modern World Honors: 1750 to the Present,9,93.04,Humanities
377,STU412,English I Honors,9,82.29,English
378,STU412,Spanish II Honors,9,90.44,Foreign Language
379,STU412,Geometry,9,91.19,Math
380,STU412,Chemistry,9,90.4,Science
